ngram,frequency
THE,1.8140360946320009
AND,0.725228108750079
ING,0.7177952708293643
ENT,0.4188481809892414
ION,0.41574003816271826
HER,0.3574300611788265
FOR,0.3436059779370538
THA,0.3327479500567281
NTH,0.3302650809835649
INT,0.3195083837159914
ERE,0.3108740609288116
TIO,0.3108251620646573
TER,0.2987707263769677
EST,0.2797404816740125
ERS,0.2766182307063005
ATI,0.2626868741190029
HAT,0.25503406149935137
ATE,0.2506311984122701
ALL,0.24569000328436355
ETH,0.24108099288050572
HES,0.23839831696529612
VER,0.23761900009155765
HIS,0.23515999553582853
OFT,0.22072914524000034
ITH,0.2138972252269112
FTH,0.2114267797407652
STH,0.21113214653679643
OTH,0.20750567575023876
RES,0.20672921325995816
ONT,0.2048876679979584
DTH,0.20462291223395396
ARE,0.2045132056435141
REA,0.2035697149277804
EAR,0.2035020286052932
WAS,0.20216849340902587
SIN,0.20191003132658006
STO,0.20020077036023962
TTH,0.1983122447541146
STA,0.1965159952820682
THI,0.1956795205494165
TIN,0.1922742410842529
TED,0.1881453754125354
ONS,0.18767596971324046
EDT,0.1876465602049908
WIT,0.18728316443559198
SAN,0.18462542928075948
DIN,0.1842622440806321
ORT,0.18423954939248408
CON,0.18210938384904568
RTH,0.17815276384139675
EVE,0.1753910542596258
ECO,0.17387888613138835
ERA,0.17212306595946564
IST,0.17111556218520274
NGT,0.16715653232922467
AST,0.16556483920612586
ILL,0.16319764285276095
COM,0.15961745051275675
ORE,0.15773912581800556
IVE,0.15706018029700475
NCE,0.15037114323290598
ONE,0.15034435414225691
EDI,0.1495668154090332
PRO,0.14953511303538294
ESS,0.1494260381527576
OUT,0.1492443402680582
EIN,0.14471155594047524
ATT,0.14464981235076088
MEN,0.14459803570656313
HEC,0.14386845997406483
ESA,0.14298175277187283
HEN,0.14282894967053733
INA,0.14214712636949303
ERI,0.14155180024585454
ERT,0.14029009256774674
AME,0.13723992648063724
ITI,0.13723311807419286
OME,0.1371156438172941
SON,0.13680416507160734
ART,0.13644423199689507
MAN,0.13610526226298766
EAN,0.13567738550334527
ONA,0.13523097864781286
EOF,0.13468375590441414
TOR,0.1344825218706388
HEA,0.1331419443020698
RAN,0.13311967075246453
RIN,0.13192630450124418
INE,0.1318075200355451
EDA,0.13176671639004991
NTO,0.13069978528805887
AVE,0.13038133435982766
NIN,0.12977990172731632
OVE,0.12942532647073385
OUN,0.12824604496411668
AIN,0.1271059059454086
ANT,0.12685607720309336
STR,0.12625960464675462
ETO,0.12578016181218596
HEM,0.1257197284312719
SOF,0.12559411216254268
PER,0.12370121139488814
NDE,0.1235764607998305
STE,0.12355058417602444
NTE,0.12293153391446619
EAS,0.12266399395676113
DTO,0.1221695305141604
OUR,0.1217153325955833
RED,0.12065556084882255
ROM,0.11933515113714394
TOF,0.11923412468000615
GHT,0.1191396492668699
TOT,0.11831307128997762
ESE,0.11817938319917509
CHA,0.11795814508460936
ICA,0.11743083283565812
HEI,0.11733085922487774
